iter	Logloss
0	0.6571395251
1	0.6258573986
2	0.5990447998
3	0.5683866747
4	0.54557328
5	0.5240904101
6	0.5054516954
7	0.4854880093
8	0.4686897953
9	0.454933426
10	0.4412252206
11	0.4268499102
12	0.4177532066
13	0.4091552942
14	0.3994408432
15	0.3905147371
16	0.3814602287
17	0.3744983543
18	0.3693219918
19	0.3616506356
20	0.3542094847
21	0.3503508795
22	0.3454423243
23	0.3408763652
24	0.3372165913
25	0.3330055029
26	0.3280337327
27	0.3242720001
28	0.322164263
29	0.31793885
30	0.3147251363
31	0.3121929558
32	0.3095047101
33	0.3058864568
34	0.3017127108
35	0.3000484389
36	0.2973873112
37	0.2944973277
38	0.2914715202
39	0.288347361
40	0.2847866136
41	0.2824867404
42	0.2800237695
43	0.2775869824
44	0.2750394912
45	0.2736029593
46	0.2714507434
47	0.2698479996
48	0.2680723748
49	0.2661524403
50	0.2649250679
51	0.2631514673
52	0.2619767481
53	0.2606450554
54	0.2592316712
55	0.258356782
56	0.2568712299
57	0.255531856
58	0.2541604593
59	0.2523249931
60	0.2508215872
61	0.2490889621
62	0.2467674203
63	0.2448673638
64	0.2434889086
65	0.2418192649
66	0.2408395365
67	0.2397286032
68	0.2384369
69	0.2370815666
70	0.2369957749
71	0.2364246602
72	0.2349186073
73	0.2336471713
74	0.2325565831
75	0.2310205836
76	0.2304712931
77	0.2290052297
78	0.2278939072
79	0.2269394544
80	0.2250901826
81	0.2229721173
82	0.2218551636
83	0.2206585164
84	0.2197662924
85	0.2197051535
86	0.218739049
87	0.2173162966
88	0.2163473506
89	0.215224052
90	0.2142206828
91	0.2136387209
92	0.2124282941
93	0.2117908633
94	0.2111279364
95	0.2097534258
96	0.2087878532
97	0.2074734954
98	0.2064690363
99	0.2061039672
100	0.2049884666
101	0.203569036
102	0.2026520424
103	0.2020036607
104	0.2006292538
105	0.1999033454
106	0.19943973
107	0.1976890953
108	0.196639833
109	0.1951585238
110	0.1939663271
111	0.1932697166
112	0.1922223746
113	0.1912024881
114	0.1895004065
115	0.1882109869
116	0.1871062558
117	0.1864426801
118	0.185695233
119	0.1851588398
120	0.1844924615
121	0.183446949
122	0.1826312526
123	0.1816670814
124	0.1812886867
125	0.1806305217
126	0.1797442923
127	0.1791225875
128	0.1781334001
129	0.1768404253
130	0.1762454494
131	0.1753821341
132	0.17468638
133	0.1738647409
134	0.1738129181
135	0.1732746565
136	0.1724863636
137	0.171547481
138	0.1709798307
139	0.1697911373
140	0.1686335972
141	0.1680802326
142	0.1667452832
143	0.1655360112
144	0.1652987084
145	0.164532123
146	0.1640140507
147	0.1632818105
148	0.1624216871
149	0.1620085321
150	0.160973218
151	0.1600211786
152	0.1588009685
153	0.1574641117
154	0.1570322595
155	0.1562942453
156	0.1553416349
157	0.1549700912
158	0.1546523814
159	0.1544933708
160	0.1539953971
161	0.1535877565
162	0.1532379332
163	0.1519557927
164	0.1507158863
165	0.1503427856
166	0.1502907941
167	0.149374618
168	0.1491583999
169	0.1484226953
170	0.1480027543
171	0.147438737
172	0.1468698411
173	0.1459363561
174	0.1450148861
175	0.1448779982
176	0.1439055358
177	0.1438137106
178	0.1432234576
179	0.1424947726
180	0.1413652589
181	0.1404102611
182	0.1395624122
183	0.1388044811
184	0.1381783388
185	0.1379977635
186	0.1375112209
187	0.1365494242
188	0.1363835756
189	0.1357826441
190	0.1348894729
191	0.1344156071
192	0.1343611892
193	0.1342654845
194	0.1337768139
195	0.1328012635
196	0.1320355214
197	0.1308145069
198	0.1303296122
199	0.1295407354
200	0.1288599546
201	0.1281919414
202	0.126979776
203	0.1266426035
204	0.1259557893
205	0.125067912
206	0.1244471544
207	0.1239607026
208	0.1233996696
209	0.1227616031
210	0.1222428821
211	0.1219936033
212	0.1213116289
213	0.1209434976
214	0.1208376463
215	0.1199798454
216	0.1191093289
217	0.1180187926
218	0.1171680373
219	0.1164169701
220	0.1158350601
221	0.1151955922
222	0.1147784019
223	0.1140907703
224	0.1135770707
225	0.113476111
226	0.1132275718
227	0.1128318423
228	0.1115324708
229	0.1110135033
230	0.1104326054
231	0.109256965
232	0.1083506759
233	0.1080160984
234	0.1079643081
235	0.1075327867
236	0.1069187048
237	0.1062643609
238	0.1056958802
239	0.1051005149
240	0.1045161786
241	0.1039377329
242	0.1032336748
243	0.1029159909
244	0.1024008511
245	0.1022025647
246	0.1012564095
247	0.1011348387
248	0.1006991588
249	0.1006187192
250	0.09995550688
251	0.09951292414
252	0.09883716479
253	0.09838916493
254	0.09770835176
255	0.09686891724
256	0.09612531078
257	0.09579753227
258	0.09517550306
259	0.09470128689
260	0.09437001806
261	0.09416767043
262	0.09349095092
263	0.09297919111
264	0.09272296412
265	0.09265197053
266	0.09242506741
267	0.09226314389
268	0.09164029725
269	0.09114365351
270	0.09068970453
271	0.09066758837
272	0.09026789503
273	0.08982048554
274	0.08927625539
275	0.08859402144
276	0.08815798468
277	0.08779241601
278	0.08743568991
279	0.08698009309
280	0.08661069027
281	0.08659963543
282	0.08596390445
283	0.0854034359
284	0.08481082787
285	0.08453188786
286	0.08409991881
287	0.08378620537
288	0.08329640603
289	0.08304031528
290	0.08300868832
291	0.08252873064
292	0.08218560251
293	0.08186604377
294	0.08136608487
295	0.08081366091
296	0.08043269722
297	0.08002673688
298	0.0798297934
299	0.07966346481
